scorer,,,RW,RW,RW,RW,RW,RW,RW,RW
bodyparts,,,head,head,spine1,spine1,spine2,spine2,tail,tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,0723_3,img035.png,354.2551727100626,1394.5065208115843,353.38049599792464,1410.2507016300674,363.001939831442,1432.9922961456539,370.8740302406834,1449.6111536762746
labeled-data,0723_3,img079.png,372.6233836649593,1140.850274291582,369.9993535285455,1157.4691318222028,366.50064667999374,1180.2107263377893,361.25258640716606,1195.0802304441343
labeled-data,0723_3,img099.png,362.1272631193041,1028.0169784257878,363.001939831442,1047.2598660928224,362.1272631193041,1076.1241975933744,360.37790969502817,1096.241761972547
labeled-data,0723_3,img124.png,356.87920284647635,791.8542661485438,356.00452613433845,809.3478003913026,360.37790969502805,831.2147181947511,363.87661654357987,848.7082524375098
labeled-data,0723_3,img145.png,374.3727370892352,590.678622356818,372.6233836649593,608.1721565995769,374.3727370892352,630.0390744030253,378.7461206499249,650.1566387821979
labeled-data,0723_3,img154.png,376.99676722564897,497.08821415805846,380.49547407420073,511.0830415522655,388.3675644834422,528.5765757950243,393.6156247562698,545.1954333256451
labeled-data,0723_3,img166.png,378.7461206499249,404.37248267143684,378.7461206499249,423.6153703384715,389.24224119558016,439.35955115695447,400.6130384533734,461.22646896040294
labeled-data,0723_3,img173.png,377.8714439377869,344.01978953391904,383.1195042106146,360.6386470645399,385.7435343470284,385.1295950044022,383.1195042106146,402.623129247161
labeled-data,0723_3,img184.png,379.4239005951807,246.0711104744074,384.6038058964802,261.6108263783058,384.6038058964802,289.23698798523617,378.848355561703,305.92779395608994
labeled-data,0723_3,img187.png,366.76190985867095,220.17158396791012,367.3374548921487,233.98466477137532,376.54617542779215,248.37329060831826,385.1793509299579,270.2440018804715
labeled-data,0723_3,img192.png,384.02826086300246,184.48779189229168,378.2728105282253,201.17859786314546,373.09290522692584,222.47376410182102,375.3950853608367,247.22220054136284
labeled-data,0723_3,img201.png,358.1287343565052,105.63812230584448,356.97764428954974,120.60229317626512,363.30863965780463,134.99091901320804,371.94181515997036,158.0127203523167
labeled-data,0723_3,img209.png,372.5173601934481,58.44342956067169,374.2439952938813,74.55869049804775,372.5173601934481,90.67395143542385,369.0640899925818,106.2136673393222
labeled-data,0723_3,img212.png,364.4597297247601,49.23470902502822,367.9129999256264,61.896699761538,373.09290522692584,78.01196069891407,373.09290522692584,95.85385673672329
labeled-data,0723_3,img240.png,389.78371119777967,8.946556681588035,385.1793509299579,21.03300238462009,378.27281052822525,34.8460831880853,373.6684502604036,51.53688915893909
labeled-data,0723_3,img316.png,388.6326211308242,8.946556681588035,381.72608072909156,24.48627258548639,377.69726549474757,37.14826332199617,372.5173601934481,51.53688915893909
labeled-data,0723_3,img372.png,389.20816616430193,11.824281848976625,385.1793509299579,24.48627258548639,376.54617542779215,37.72380835547388,373.09290522692584,50.96134412546138
labeled-data,0723_3,img381.png,391.51034629821277,12.975371915932058,383.4527158295248,25.061817618964113,375.3950853608367,37.72380835547388,371.3662701264927,52.1124341924168
