scorer,,,RW,RW,RW,RW,RW,RW,RW,RW
bodyparts,,,head,head,spine1,spine1,spine2,spine2,tail,tail
coords,,,x,y,x,y,x,y,x,y
labeled-data,0723_1,img035.png,360.0350483935209,1349.5240387628592,360.744566401987,1362.2953629152482,368.54926449511373,1375.7762050761035,370.6778185205119,1392.0951192708228
labeled-data,0723_1,img039.png,361.45408441045305,1300.5672961787004,359.3255303850549,1315.4671743564877,355.0684223342584,1333.9146425766057,355.0684223342584,1352.362110796723
labeled-data,0723_1,img057.png,346.55420623266565,1140.2162262653696,343.71613419880146,1155.1161044431574,342.2970981818693,1171.4350186378767,340.87806216493715,1190.5920048664605
labeled-data,0723_1,img072.png,348.68276025806387,1135.2496002061073,346.55420623266565,1150.1494783838948,343.7161341988014,1166.4683925786142,342.2970981818693,1184.915860798732
labeled-data,0723_1,img086.png,349.39227826652996,1136.6686362230396,347.9732422495978,1148.7304423669625,345.1351702157335,1168.5969466040124,343.00661619033536,1188.4634508410622
labeled-data,0723_1,img097.png,347.9732422495978,1134.5400821976414,344.4256522072675,1150.8589963923607,343.0066161903353,1167.8874285955462,343.71613419880146,1189.8824868579943
labeled-data,0723_1,img099.png,346.55420623266565,1133.8305641891752,346.55420623266565,1150.8589963923607,344.4256522072675,1168.5969466040124,343.71613419880146,1186.334896815664
labeled-data,0723_1,img105.png,360.03504839352087,1084.873821605017,357.1969763596566,1099.7736997828042,348.68276025806387,1119.6402040198539,342.2970981818693,1141.635262282302
labeled-data,0723_1,img111.png,372.69580502712853,974.539167416898,374.0964125141253,989.945849773862,371.76206670246404,1011.4218312411454,368.9608517284706,1027.2953827604415
labeled-data,0723_1,img126.png,353.55416937150653,763.0474368803914,352.6204310468421,777.9872500750232,343.2830478001972,796.1951474059807,332.54505706655556,817.2042597109316
labeled-data,0723_1,img132.png,365.2258984298127,651.4657070829849,362.4246834558192,669.6736044139424,356.35538434550006,688.8152400695644,352.6204310468421,707.0231374005219
labeled-data,0723_1,img139.png,379.6988424621122,508.13690274241816,376.4307583257865,525.8779309110434,375.497020001122,552.0226040016491,380.63258078677666,580.0347537415838
labeled-data,0723_1,img151.png,401.64169309172763,339.1302659781458,402.5754314163921,358.2719016337678,403.0423005787244,381.61535975038004,392.771179007415,407.76003284098573
labeled-data,0723_1,img154.png,396.506132306073,296.17830304357926,396.03926314374075,313.9193312122046,402.10856225405996,330.72662105616536,404.44290806572116,355.93755582210656
labeled-data,0723_1,img161.png,400.70795476706326,201.87073225246598,401.1748239293955,219.14489125875903,407.7109922020469,244.3558260247002,409.11159968904366,267.69928414131243
labeled-data,0723_1,img164.png,393.70491733207956,171.52423670087012,393.70491733207956,189.26526486949538,396.9730014684053,211.20811549911087,406.7772538773824,232.21722780406185
labeled-data,0723_1,img285.png,422.6508053966786,64.14432936445391,424.98515120833986,78.15040423442125,424.0514128836753,87.95465664339838,423.5845437213431,101.96073151336572
labeled-data,0723_1,img304.png,422.1839362343464,65.54493685145064,424.5182820460076,79.08414255908573,423.1176745590109,88.42152580573062,421.7170670720141,101.02699318870123
